zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
48070,STANDARD,0,Huntington Woods,Huntingtn Wds,Huntington Wd,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.48,-83.16,6480
48071,STANDARD,0,Madison Heights,Madison Hts,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.5,-83.1,23910
48072,STANDARD,0,Berkley,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.49,-83.18,14290
48073,STANDARD,0,Royal Oak,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.52,-83.16,29850
48074,STANDARD,0,Smiths Creek,Kimball,Kimball Township,MI,St. Clair County,America/Detroit,810,NA,US,42.91,-82.6,8940
48075,STANDARD,0,Southfield,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.47,-83.25,18300
48076,STANDARD,0,Southfield,"Lathrup Village, Lathrup Vlg",,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.5,-83.23,22860
48079,STANDARD,0,Saint Clair,,"Saint Clair Township, St Clair, St Clair Township, St Clair Twp",MI,St. Clair County,America/Detroit,"226, 519, 548, 586, 810",NA,US,42.82,-82.49,12190
48080,STANDARD,0,Saint Clair Shores,"St Clair Shrs, St Clr Shores","St Clair Shores, St Clr Shrs",MI,Macomb County,America/Detroit,"313, 586",NA,US,42.46,-82.9,20120
48081,STANDARD,0,Saint Clair Shores,"St Clair Shrs, St Clr Shores","Saint Clair Shrs, St Clair Shores, St Clr Shrs",MI,Macomb County,America/Detroit,586,NA,US,42.49,-82.89,18660
48082,STANDARD,0,Saint Clair Shores,"St Clair Shrs, St Clr Shores","St Clair Shores, St Clr Shrs",MI,Macomb County,America/Detroit,586,NA,US,42.53,-82.89,14840
48083,STANDARD,0,Troy,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.56,-83.12,21620
48084,STANDARD,0,Troy,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.56,-83.18,14820
48085,STANDARD,0,Troy,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.58,-83.14,25820
48086,PO BOX,0,Southfield,,,MI,Oakland County,America/Detroit,248,NA,US,42.47,-83.25,117
48088,STANDARD,0,Warren,,,MI,Macomb County,America/Detroit,586,NA,US,42.52,-82.98,21250
48089,STANDARD,0,Warren,,,MI,Macomb County,America/Detroit,"313, 586",NA,US,42.47,-82.99,25980
48090,PO BOX,0,Warren,,,MI,Macomb County,America/Detroit,586,NA,US,42.49,-83.02,1340
48091,STANDARD,0,Warren,,,MI,Macomb County,America/Detroit,"248, 313, 586, 947",NA,US,42.47,-83.06,26880
48092,STANDARD,0,Warren,,,MI,Macomb County,America/Detroit,"248, 586, 947",NA,US,42.51,-83.06,25120
48093,STANDARD,0,Warren,,,MI,Macomb County,America/Detroit,586,NA,US,42.52,-83.02,22170
48094,STANDARD,0,Washington,"Washingtn Twp, Washington Township, Washington Twp",,MI,Macomb County,America/Detroit,"248, 586, 947",NA,US,42.72,-83.03,20120
48095,STANDARD,0,Washington,"Washingtn Twp, Washington Township, Washington Twp",,MI,Macomb County,America/Detroit,"248, 586, 947",NA,US,42.78,-83.05,5630
48096,STANDARD,0,Ray,Ray Twp,Ray Township,MI,Macomb County,America/Detroit,586,NA,US,42.78,-82.93,3760
48097,STANDARD,0,Yale,"Brockway, Lynn","Brockway Township, Lynn Township",MI,St. Clair County,America/Detroit,810,NA,US,43.12,-82.79,4640
48098,STANDARD,0,Troy,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.6,-83.18,20360
48099,PO BOX,0,Troy,,,MI,Oakland County,America/Detroit,248,NA,US,42.58,-83.14,524
48101,STANDARD,0,Allen Park,,,MI,Wayne County,America/Detroit,"313, 734",NA,US,42.25,-83.21,26900
48103,STANDARD,0,Ann Arbor,,"Delhi, Loch Alpine, Lodi Township, Scio Township",MI,Washtenaw County,America/Detroit,734,NA,US,42.26,-83.85,49800
48104,STANDARD,0,Ann Arbor,,Pittsfield Twp,MI,Washtenaw County,America/Detroit,734,NA,US,42.27,-83.73,20030
48105,STANDARD,0,Ann Arbor,,"Ann Arbor Township, Barton Hills, Dixboro, Superior Township",MI,Washtenaw County,America/Detroit,"248, 734, 947",NA,US,42.33,-83.7,26840
48106,PO BOX,0,Ann Arbor,,,MI,Washtenaw County,America/Detroit,734,NA,US,42.27,-83.73,639
48107,PO BOX,0,Ann Arbor,,,MI,Washtenaw County,America/Detroit,734,NA,US,42.27,-83.73,331
48108,STANDARD,0,Ann Arbor,,,MI,Washtenaw County,America/Detroit,734,NA,US,42.22,-83.73,23730
48109,STANDARD,0,Ann Arbor,,U OF M,MI,Washtenaw County,America/Detroit,734,NA,US,42.29,-83.71,130
48110,PO BOX,0,Azalia,,,MI,Monroe County,America/Detroit,734,NA,US,42.01,-83.66,108
48111,STANDARD,0,Belleville,"Sumpter Twp, Van Buren Twp",Roulo,MI,Wayne County,America/Detroit,734,NA,US,42.2,-83.48,38570
